open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
1502958000000,307.39,309.48,307.39,309.48,9.00871,1502958299999,2786.6905317,17,8.21372,2541.9820656,0
1502958300000,309.48,309.77,307.0,309.77,8.73169,1502958599999,2703.1177496,12,7.16072,2217.7764957,0
1502958600000,309.77,309.97,309.77,309.97,10.18926,1502958899999,3157.4716782,19,8.02458,2486.9187546,0
1502958900000,309.97,309.97,308.82,308.82,27.29691,1502959199999,8430.5091537,16,24.90477,7691.7684789,0
1502959200000,308.82,309.97,308.82,309.97,1.739,1502959499999,537.3816,10,1.4674,453.506088,0
1502959500000,309.97,309.97,307.86,309.87,3.93661,1502959799999,1219.8134518,28,3.91232,1212.3355324,0
1502959800000,309.87,309.87,309.62,309.62,7.64514,1502960099999,2367.1987493,11,7.64514,2367.1987493,0
1502960100000,309.62,309.62,308.62,308.62,4.37668,1502960399999,1351.2670316,10,4.37668,1351.2670316,0
1502960400000,308.62,308.62,308.62,308.62,23.55497,1502960699999,7269.5348414,14,23.55497,7269.5348414,0
1502960700000,308.62,309.62,308.62,309.62,62.72146,1502960999999,19374.8800988,13,62.25394,19230.5940764,0
1502961000000,309.62,310.94,308.67,310.94,22.47678,1502961299999,6957.7074333,22,13.40151,4152.0445254,0
1502961300000,310.94,310.94,309.62,309.62,24.8688,1502961599999,7702.3372404,14,24.8688,7702.3372404,0
1502961600000,309.62,310.94,309.62,310.52,13.49394,1502961899999,4189.209894,12,9.55147,2968.1353898,0
1502961900000,310.52,311.46,310.5,311.46,25.11057,1502962199999,7799.1482952,16,19.07479,5924.9178896,0
1502962200000,309.89,310.5,309.89,310.5,166.37224,1502962499999,51628.8137705,20,166.37224,51628.8137705,0
1502962500000,310.5,311.46,310.5,311.46,22.04808,1502962799999,6853.3609872,16,21.35029,6636.2770386,0
1502962800000,312.0,312.0,310.37,311.14,25.88835,1502963099999,8074.3907112,21,20.16687,6289.6499962,0
1502963100000,311.13,311.13,311.13,311.13,2.23491,1502963399999,695.3475483,11,2.23491,695.3475483,0
1502963400000,311.13,311.13,309.29,310.62,19.6669,1502963699999,6105.1108426,25,15.0472,4676.2838296,0
1502963700000,309.95,310.62,309.95,310.0,60.84179,1502963999999,18860.2215621,14,60.84179,18860.2215621,0
1502964000000,310.0,310.0,310.0,310.0,5.59915,1502964299999,1735.7365,12,5.59915,1735.7365,0
1502964300000,310.0,310.0,309.29,310.0,22.54338,1502964599999,6984.2462117,22,16.62565,5153.9515,0
1502964600000,310.0,310.62,310.0,310.62,12.27918,1502964899999,3806.6682934,14,11.76825,3648.2799934,0
